model,cv_f1,cv_precision,cv_recall,cv_pr_auc,cv_roc_auc,cv_brier,cv_log_loss,threshold,seconds
logistic_C_1,0.6212534059945504,0.6440677966101694,0.6,0.6484111160251883,0.8377388705028291,0.09039997755835794,0.32103845802453723,0.37,2.0538745620287955
logistic_C_0.127,0.6158357771260997,0.695364238410596,0.5526315789473685,0.6525626486260561,0.8364150741966477,0.09178823499763383,0.3204873783002143,0.38,7.892544983013067
logistic_engineered,0.6158357771260997,0.695364238410596,0.5526315789473685,0.6525626486260561,0.8364150741966477,0.09178823499763383,0.3204873783002143,0.38,1.8793544879881665
logistic_pos_weight_1,0.6158357771260997,0.695364238410596,0.5526315789473685,0.6525626486260561,0.8364150741966477,0.09178823499763383,0.3204873783002143,0.38,
logistic_pos_weight_1.25,0.6112600536193029,0.6229508196721312,0.6,0.6506086714692335,0.8362015586633926,0.09290390013398331,0.3234330658731076,0.38,
logistic_pos_weight_1.5,0.610079575596817,0.6149732620320856,0.6052631578947368,0.6496583465242662,0.8358012170385395,0.09528675937702273,0.3292653211394737,0.42,
logistic_pos_weight_2,0.6073298429319371,0.6041666666666666,0.6105263157894737,0.6472723171666686,0.8350912778904666,0.1021012100705788,0.34541195584821094,0.48,
logistic_pos_weight_2.5,0.6037735849056604,0.6187845303867403,0.5894736842105263,0.6424851655385371,0.8341037685491619,0.11024768486376958,0.36439777084925506,0.55,
logistic_pos_weight_4,0.6010928961748634,0.625,0.5789473684210527,0.6332195515266422,0.8318351660083271,0.1364899851609512,0.42535938331716616,0.66,
logistic_balanced,0.5994550408719346,0.6214689265536724,0.5789473684210527,0.629585858552535,0.8302124479555887,0.15672325991974875,0.4741148411004323,0.7,2.1056382360402495
logistic_pos_weight_3,0.5989010989010989,0.6264367816091954,0.5736842105263158,0.6393553536008253,0.8332176790861536,0.11891873600684201,0.38450505919191513,0.6,
xgboost,0.5981308411214953,0.732824427480916,0.5052631578947369,0.6372685386297033,0.831733746130031,0.09242340177297592,0.31902018189430237,0.38,1.8634560760110617
logistic_pos_weight_5,0.5927835051546392,0.5808080808080808,0.6052631578947368,0.6264970066063129,0.8300576491939788,0.1534695321734086,0.465306627636703,0.68,
logistic_C_0.01,0.5846994535519126,0.6079545454545454,0.5631578947368421,0.6254182950524159,0.8203320166542114,0.1077764325331169,0.3647201233157283,0.31,8.271570996032096
logistic_pos_weight_7,0.5829145728643216,0.5576923076923077,0.6105263157894737,0.613901627931997,0.8266734279918865,0.18443858705704963,0.5401094443286395,0.74,
catboost,0.5759162303664922,0.5729166666666666,0.5789473684210527,0.6218650751114493,0.8314455001601366,0.09464720466466035,0.3217832500715349,0.24,2.5607264199643396
logistic_pos_weight_10,0.5754189944134078,0.6130952380952381,0.5421052631578948,0.602077225651813,0.822792783174976,0.22341447897595498,0.6392448402747873,0.83,
lightgbm,0.5623471882640587,0.5251141552511416,0.6052631578947368,0.5943360109469925,0.8165901569339169,0.09661160123157264,0.332371102531439,0.24,2.1441547129652463
hist_gradient_boosting,0.5617977528089888,0.6024096385542169,0.5263157894736842,0.5957128761246356,0.8169104302337995,0.09627492688029718,0.33258937672673444,0.29,2.0952198820305057
extra_trees,0.5222222222222223,0.5529411764705883,0.49473684210526314,0.5336648787718501,0.8053432262197073,0.10825392828946848,0.36223836836191275,0.39,3.1906707049929537
random_forest,0.5204301075268817,0.44,0.6368421052631579,0.5525754548083437,0.8045905839649835,0.12037182185628921,0.401614493888927,0.38,3.4541010960238054
