feature,importance_mean,importance_std
OverTime,0.24994960881927017,0.033709814994487344
JobSatisfaction,0.07561358582607318,0.018536161561063823
NumCompaniesWorked,0.06757889293755089,0.019491935477937754
YearsSinceLastPromotion,0.05852284466803476,0.030097918525025153
EnvironmentSatisfaction,0.04891225626187794,0.02477472616098347
TotalWorkingYears,0.03997384835208675,0.02578248876854937
BusinessTravel,0.03528043937198676,0.015354481945409781
JobInvolvement,0.03499483260130246,0.017484389169165605
DistanceFromHome,0.034444478819138744,0.01656718329765213
RelationshipSatisfaction,0.023186240413650628,0.00977001386292576
Department,0.020243536465139267,0.01560675274590286
YearsInCurrentRole,0.019025385014811647,0.017643750114370416
WorkLifeBalance,0.01865942222804261,0.012513706020017572
YearsWithCurrManager,0.01655065802447182,0.015139889616095477
MonthlyIncome,0.012630232855723978,0.00946242279243429
Age,0.011902788426526267,0.013974328257591864
TrainingTimesLastYear,0.010570276681052449,0.008043064827292019
StockOptionLevel,0.006198964213862857,0.020791710044632986
Gender,0.005385391623149283,0.008972523091999477
MaritalStatus,0.005119016052099301,0.012588096840070328
PerformanceRating,0.0026941315929560282,0.0033060002776553756
JobLevel,0.0016942356055627994,0.004829173385245809
Education,0.0016264159626464213,0.003316521019553927
YearsAtCompany,0.0016005541839997472,0.003623343680777071
JobRole,0.0008562694951144035,0.021049552984939005
DailyRate,-0.0009971893101204054,0.005676442314877582
HourlyRate,-0.0017217457934607383,0.0022004972295479367
PercentSalaryHike,-0.0023686040076077775,0.004473173238734777
MonthlyRate,-0.0026323848646832683,0.0036281736355828625
EducationField,-0.0047716910380944276,0.009840510118375362
