feature,type,range,max_group_n
JobRole,categorical_target_rate_range,0.3725903614457831,326
OverTime,categorical_target_rate_range,0.20092413516274998,1054
BusinessTravel,categorical_target_rate_range,0.1690974729241877,1043
MaritalStatus,categorical_target_rate_range,0.15440171774350964,673
EducationField,categorical_target_rate_range,0.1251129177958446,606
MonthlyIncome,numeric_target_rate_split,0.1129251700680272,1470
YearsInCurrentRole,numeric_target_rate_split,0.10369118482845262,1470
Age,numeric_target_rate_split,0.10236528822055137,1470
YearsAtCompany,numeric_target_rate_split,0.10069372233280847,1470
TotalWorkingYears,numeric_target_rate_split,0.09663465252207945,1470
YearsWithCurrManager,numeric_target_rate_split,0.08837209302325583,1470
JobInvolvement,numeric_target_rate_split,0.07865133232780293,1470
JobLevel,numeric_target_rate_split,0.07418826681409342,1470
JobSatisfaction,numeric_target_rate_split,0.06969738109553086,1470
Department,categorical_target_rate_range,0.0678805243043728,961
StockOptionLevel,numeric_target_rate_split,0.060038033143167635,1470
DistanceFromHome,numeric_target_rate_split,0.05444418658621489,1470
DailyRate,numeric_target_rate_split,0.0390171484421277,1470
EnvironmentSatisfaction,numeric_target_rate_split,0.03832241451793722,1470
Education,numeric_target_rate_split,0.02866626961883409,1470
YearsSinceLastPromotion,numeric_target_rate_split,0.022893053529345758,1470
Gender,categorical_target_rate_range,0.022108843537414963,882
RelationshipSatisfaction,numeric_target_rate_split,0.018518518518518517,1470
WorkLifeBalance,numeric_target_rate_split,0.017017285274018495,1470
TrainingTimesLastYear,numeric_target_rate_split,0.014393304970577586,1470
MonthlyRate,numeric_target_rate_split,0.012244897959183682,1470
HourlyRate,numeric_target_rate_split,0.009796240421855118,1470
NumCompaniesWorked,numeric_target_rate_split,0.00645168683535019,1470
PerformanceRating,numeric_target_rate_split,0.002945109979227728,1470
PercentSalaryHike,numeric_target_rate_split,0.0003262483687581641,1470
